phrase,count,pct
general support,590,11.434108527131784
charitable support,495,9.593023255813954
support any,495,9.593023255813954
any restrictions,495,9.593023255813954
restrictions have,495,9.593023255813954
been communicated,495,9.593023255813954
communicated to,495,9.593023255813954
the grantee,495,9.593023255813954
general purposes,466,9.031007751937985
the general,464,8.992248062015504
or other,462,8.953488372093023
purposes or,461,8.934108527131784
other charitable,461,8.934108527131784
charitable purposes,461,8.934108527131784
purposes of,461,8.934108527131784
for general,287,5.562015503875969
education and,166,3.2170542635658914
and economic,161,3.12015503875969
economic mobility,156,3.0232558139534884
mission fund,110,2.131782945736434
violence prevention,88,1.7054263565891472
prevention and,88,1.7054263565891472
and justice,88,1.7054263565891472
gun violence,87,1.686046511627907
justice reform,87,1.686046511627907
afterschool and,74,1.434108527131783
statewide afterschool,73,1.4147286821705427
needs of,72,1.3953488372093024
to ensure,71,1.375968992248062
a statewide,69,1.3372093023255813
network to,69,1.3372093023255813
learning opportunities,69,1.3372093023255813
quality afterschool,68,1.317829457364341
expansion of,68,1.317829457364341
and summer,68,1.317829457364341
afterschool network,66,1.2790697674418605
of school,66,1.2790697674418605
meet the,66,1.2790697674418605
the needs,66,1.2790697674418605
and expansion,65,1.2596899224806202
summer learning,65,1.2596899224806202
underserved youth,65,1.2596899224806202
the availability,63,1.2209302325581395
availability and,63,1.2209302325581395
that meet,63,1.2209302325581395
opportunities that,62,1.2015503875968991
of underserved,62,1.2015503875968991
ensure the,61,1.182170542635659
school linked,60,1.1627906976744187
linked quality,60,1.1627906976744187
access to,57,1.1046511627906976
great lakes,48,0.9302325581395349
habitat in,45,0.872093023255814
capacity building,44,0.8527131782945736
president s,43,0.8333333333333334
s discretionary,43,0.8333333333333334
discretionary fund,43,0.8333333333333334
to strengthen,43,0.8333333333333334
development of,43,0.8333333333333334
community foundations,42,0.813953488372093
to increase,42,0.813953488372093
civil society,42,0.813953488372093
operating support,41,0.7945736434108527
the development,41,0.7945736434108527
water quality,37,0.7170542635658915
to build,37,0.7170542635658915
foundations in,36,0.6976744186046512
habitat for,36,0.6976744186046512
to protect,34,0.6589147286821705
to promote,34,0.6589147286821705
the great,33,0.6395348837209303
conservation community,33,0.6395348837209303
community capacity,33,0.6395348837209303
to justice,32,0.6201550387596899
of community,31,0.6007751937984496
long term,28,0.5426356589147286
restoration for,28,0.5426356589147286
membership grants,27,0.5232558139534884
habitat restoration,27,0.5232558139534884
long island,27,0.5232558139534884
general operating,26,0.5038759689922481
sustainable development,26,0.5038759689922481
communities in,26,0.5038759689922481
soil health,26,0.5038759689922481
restoration in,26,0.5038759689922481
the united,25,0.4844961240310077
children s,24,0.46511627906976744
island sound,24,0.46511627906976744
to develop,23,0.44573643410852715
on the,23,0.44573643410852715
plan for,23,0.44573643410852715
coastal resilience,23,0.44573643410852715
renewable energy,22,0.4263565891472868
brook trout,22,0.4263565891472868
designated funds,22,0.4263565891472868
in south,21,0.4069767441860465
for soil,21,0.4069767441860465
of designated,21,0.4069767441860465
development and,20,0.3875968992248062
increase access,20,0.3875968992248062
justice for,20,0.3875968992248062
energy and,20,0.3875968992248062
low income,20,0.3875968992248062
research and,20,0.3875968992248062
for salmon,20,0.3875968992248062
land mgmt,20,0.3875968992248062
salmon habitat,20,0.3875968992248062
the capacity,19,0.3682170542635659
technical assistance,19,0.3682170542635659
support research,19,0.3682170542635659
farmers for,19,0.3682170542635659
disbursement of,19,0.3682170542635659
development finance,18,0.3488372093023256
and social,18,0.3488372093023256
at the,18,0.3488372093023256
wetland restoration,18,0.3488372093023256
to address,17,0.32945736434108525
and environmental,17,0.32945736434108525
for flint,17,0.32945736434108525
s savings,17,0.32945736434108525
capital needs,17,0.32945736434108525
human rights,16,0.31007751937984496
development goals,16,0.31007751937984496
to improve,16,0.31007751937984496
for poor,16,0.31007751937984496
opportunities for,16,0.31007751937984496
mitigation land,16,0.31007751937984496
chesapeake bay,16,0.31007751937984496
strengthen the,15,0.29069767441860467
capacity to,15,0.29069767441860467
and water,15,0.29069767441860467
united states,15,0.29069767441860467
poor and,15,0.29069767441860467
capacity of,15,0.29069767441860467
in michigan,15,0.29069767441860467
and or,15,0.29069767441860467
or capital,15,0.29069767441860467
capacity for,14,0.2713178294573643
high quality,14,0.2713178294573643
to advance,14,0.2713178294573643
support community,14,0.2713178294573643
to help,14,0.2713178294573643
financial institutions,14,0.2713178294573643
south america,14,0.2713178294573643
and infrastructure,14,0.2713178294573643
infrastructure in,14,0.2713178294573643
flint area,14,0.2713178294573643
savings account,14,0.2713178294573643
economic development,14,0.2713178294573643
community foundation,14,0.2713178294573643
the flint,14,0.2713178294573643
and general,14,0.2713178294573643
for birds,14,0.2713178294573643
wetlands for,14,0.2713178294573643
provide technical,13,0.25193798449612403
to enhance,13,0.25193798449612403
to engage,13,0.25193798449612403
use of,13,0.25193798449612403
in europe,13,0.25193798449612403
health and,13,0.25193798449612403
fish passage,13,0.25193798449612403
to restore,13,0.25193798449612403
riparian habitat,13,0.25193798449612403
annual gift,13,0.25193798449612403
latin america,12,0.23255813953488372
to expand,12,0.23255813953488372
in africa,12,0.23255813953488372
environmental and,12,0.23255813953488372
flint kids,12,0.23255813953488372
implementation of,12,0.23255813953488372
water and,12,0.23255813953488372
the world,12,0.23255813953488372
the amazon,12,0.23255813953488372
lakes region,12,0.23255813953488372
network of,12,0.23255813953488372
a national,12,0.23255813953488372
restoration and,12,0.23255813953488372
genesee county,12,0.23255813953488372
development in,12,0.23255813953488372
and education,12,0.23255813953488372
nature based,12,0.23255813953488372
address the,11,0.2131782945736434
off grid,11,0.2131782945736434
in east,11,0.2131782945736434
services to,11,0.2131782945736434
across the,11,0.2131782945736434
social and,11,0.2131782945736434
outcomes for,11,0.2131782945736434
and marginalized,11,0.2131782945736434
downtown flint,11,0.2131782945736434
a community,11,0.2131782945736434
for youth,11,0.2131782945736434
restoration plan,11,0.2131782945736434
operating program,11,0.2131782945736434
in latin,10,0.1937984496124031
dedicated to,10,0.1937984496124031
for afterschool,10,0.1937984496124031
afterschool networks,10,0.1937984496124031
protect and,10,0.1937984496124031
and restore,10,0.1937984496124031
